id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,tinh_trang_hieu_luc,year_of_issue
2221,"Về học bổng, học phí của học sinh các trường đại học, cao đẳng, trung học chuyên nghiệp và dạy nghề",63-HĐBT,1989-06-10,Quyết định,10/06/1989,,Công báo số 12/1989;,...,Giáo dục và đào tạo,Giáo dục đại học,Hội đồng Bộ trưởng,Chủ tịch hội đồng bộ trưởng,Võ Văn Kiệt,Toàn quốc,Còn hiệu lực,1989
6264,Về việc ban hành tạm thời chương trình Đại học sư phạm Âm nhạc,02/2000/QĐ-BGD,2000-03-04,Quyết định,19/03/2000,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,2000
1927,Về việc công nhận trường Đại học Tuyên giáo,406-HĐBT,1990-11-20,Quyết định,20/11/1990,,Công báo số 24/1990;,...,Giáo dục và đào tạo,Giáo dục đại học,Hội đồng Bộ trưởng,Chủ tịch hội đồng bộ trưởng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1990
5103,Về việc bãi bỏ 11 Thông tư liên Bộ hết hiệu lực thi hành,38/2000/QĐ-BGD,2000-08-29,Quyết định,14/09/2000,,Danh mục các văn bản quy phạm pháp luật đã bị bãi bỏ;,...,Giáo dục và đào tạo,"Quy chế thi, tuyển sinh",Bộ Giáo dục và Đào tạo,Bộ trưởng,Nguyễn Minh Hiển,Toàn quốc,Còn hiệu lực,2000
6856,Về việc tách hai Trường Đại học Sư phạm khỏi hai Đại học Quốc gia,201/1999/QĐ-TTg,1999-10-12,Quyết định,27/10/1999,,"Công báo số 42, năm 1999",15/11/1999,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,1999
6996,Về việc giao nhiệm vụ đào tạo trên Đại học cho Viện máy và dụng cụ công nghiệp,29/1999/QĐ-TTg,1999-02-27,Quyết định,14/03/1999,,"Công báo số 13, năm 1999",08/04/1999,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,1999
7521,"Về thay đối tổ chức Đại học Quốc gia Hà Nội, Đại học Quốc gia thành phố Hồ Chí Minh, Đại học Huế, Đại học Thái Nguyên và Đại học Đà Nẵng",67/1998/NĐ-CP,1998-09-01,Nghị định,01/09/1998,,Công báo số 31,10/11/1998,Giáo dục và đào tạo,Giáo dục đại học,Chính phủ,Thủ tướng,Phan Văn Khải,Toàn quốc,Còn hiệu lực,1998
8879,Về việc giao nhiệm vụ đào tạo trên đại học cho Viện Nghiên cứu thương mại,915/TTg,1996-12-10,Quyết định,10/12/1996,,"Công báo số 4, năm 1997",28/02/1997,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1996
7331,"Về việc ban hành mục tiêu, kế hoạch, chương trình đào tạo đại học sư phạm my thuật (hệ 4 năm)",20/1999/QĐ-BGDDT,1999-05-14,Quyết định,29/05/1999,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Vũ Ngọc Hải,Toàn quốc,Còn hiệu lực,1999
9309,Về việc giao nhiệm vụ đào tạo trên đại học cho Viện Cơ học ứng dụng (Trung tâm khoa học tự nhiên và công nghệ quốc gia),142/TTg,1996-03-08,Quyết định,08/03/1996,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1996
8974,Quyết định giao nhiệm vụ đào tạo trên đại học cho Viện Công nghệ hoá học,801-TTg,1996-10-30,Quyết định,30/10/1996,,Công báo số 1,15/01/1997,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1996
11161,Về việc giao nhiệm vụ đào tạo trên đại học cho Viện Nghiên cứu thú y Bộ Nông nghiệp và Công nghiệp thực phẩm,183-CT,1992-05-28,Quyết định,12/06/1992,,Công báo số 11/1992;,15/06/1992,Giáo dục và đào tạo,Giáo dục đại học,Chủ tịch Hội đồng Bộ trưởng,Phó Chủ tịch Hội đồng Bộ trưởng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1992
11164,Về việc chuyển Trường cao cấp Công đoàn thành Trường đại học Công đoàn,174-CT,1992-05-19,Quyết định,19/05/1992,,Công báo số 10/1992;,30/05/1992,Giáo dục và đào tạo,Giáo dục đại học,Chủ tịch Hội đồng Bộ trưởng,Phó Chủ tịch Hội đồng Bộ trưởng,Phan Văn Khải,Toàn quốc,Còn hiệu lực,1992
9668,Về việc nâng cấp Trường Trung học Văn hoá Nghệ thuật Hà Nội thành Trường Cao đẳng Nghệ thuật Hà Nội,618/TTg,1995-09-28,Quyết định,28/09/1995,,Công báo,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng Chính phủ,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1995
6405,Về việc thành lập Trường Đại học Dân lập Cửu Long,04/2000/QĐ-TTg,2000-01-05,Quyết định,20/01/2000,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Phạm Gia Khiêm,Toàn quốc,Còn hiệu lực,2000
10673,Về việc thành lập Đại học mở bán công thành phố Hồ Chí Minh,389-TTg,1993-07-26,Quyết định,26/07/1993,,Công báo số 17/1993;,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1993
12338,"Ban hành Bộ Chương trình khung giáo dục đại học khối ngành Văn hóa - Nghệ thuật, trình độ đại học",03/2009/TT-BGDĐT,2009-02-16,Thông tư,02/04/2009,,"Công báo số 149 + 152, năm 2009",16/03/2009,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Phạm Vũ Luận,Toàn quốc,Còn hiệu lực,2009
12377,Ban hành Quy định về quản lý hoạt động sở hữu trí tuệ trong cơ sở giáo dục đại học,78/2008/QĐ-BGDĐT,2008-12-29,Quyết định,27/01/2009,,"Công báo số 21+22,năm 2009",12/01/2009,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2008
9600,Về việc cấp học bổng quốc phòng cho sinh viên đại học và học sinh phổ thông trung học là nguồn đào tạo sĩ quan quân đội,400/TTg,1995-07-10,Quyết định,10/07/1995,,Công báo số 18 năm 1995;,30/09/1995,Giáo dục và đào tạo,Giáo dục đại học,Chính phủ,Thủ tướng Chính phủ,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1995
13740,Về việc thành lập Trường Đại học tư thục Công nghệ - Thông tin Gia Định,959/QĐ-TTg,2007-07-31,Quyết định,31/07/2007,,"Công báo số 558 + 559, 2007;",14/08/2007,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2007
13718,"Về việc bổ sung vào Mục I và Mục III của Tiêu chuẩn bộ mẫu thiết bị dạy học tối thiểu môn học giáo dục quốc phòng cho các trường Trung học phổ thông, Trung học chuyên nghiệp, Đại học và Cao đẳng ban hành kèm theo Quyết định số10/2005/QĐ-BGD&ĐT ngày 01 tháng 04 năm 2005 của Bộ trưởng Bộ Giáo dục và Đào tạo",09/2007/QĐ-BGDĐT,2007-04-10,Quyết định,18/05/2007,,"Công báo số 290+291, năm 2007",03/05/2007,Giáo dục và đào tạo,Giáo dục đại học,Bộ Giáo dục và Đào tạo,Thứ trưởng,Bành Tiến Long,Toàn quốc,Còn hiệu lực,2007
12148,Về việc thành lập Trường Đại học Giáo dục thuộc Đại học Quốc gia Hà Nội,441/QĐ-TTg,2009-04-03,Quyết định,03/04/2009,,"Công báo số 193 + 194, năm 2009",14/04/2009,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2009
12129,Về việc đổi tên Trường Đại học Bán công Marketing thành Trường Đại học Tài chính - Marketing,395/QĐ-TTG,2009-03-25,Quyết định,25/03/2009,,"Công báo số 181 + 182, năm 2009",06/04/2009,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2009
12130,Về việc thành lập Trường Đại học Phan Thiết,394/QĐ-TTg,2009-03-25,Quyết định,25/03/2009,,"Công báo số 181 + 182, năm 2009",06/04/2009,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Thiện Nhân,Toàn quốc,Còn hiệu lực,2009
9285,Về việc thành lập Trường Đại học dân lập Quản lý và kinh doanh Hà Nội,405/QĐ-TTg,1996-06-15,Quyết định,15/06/1996,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Phó Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1996
11220,Về việc giao nhiệm vụ đào tạo trên đại học cho Viện Khoa học kỹ thuật Bưu điện,10-CT,1992-01-14,Quyết định,14/01/1992,,Công báo số 1/1992;,31/01/1992,Giáo dục và đào tạo,Giáo dục đại học,Chủ tịch Hội đồng Bộ trưởng,Phó Chủ tịch Hội đồng Bộ trưởng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1992
9270,Về việc giao nhiệm vụ đào tạo trên đại học cho Trường Đại học Kiến trúc thành phố Hồ Chí Minh,415/TTg,1996-06-19,Quyết định,19/06/1996,,Công báo điện tử;,...,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Khánh,Toàn quốc,Còn hiệu lực,1996
14339,Về việc thành lập Trường Đại học Kinh tế thuộc Đại học Quốc gia Hà Nội,290/QĐ-TTg,2007-03-06,Quyết định,06/03/2007,,"Công báo số 242+243, năm 2007",18/03/2007,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2007
14932,Về việc thành lập Trường Đại học Kiến trúc Đà Nẵng,270/2006/QĐ-TTg,2006-11-27,Quyết định,22/12/2006,,"Công báo số 9+10, năm 2006;",07/12/2006,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2006
14927,Về việc thành lập Trường Đại học Hoa Sen,274/2006/QĐ-TTg,2006-11-30,Quyết định,24/12/2006,,"Công báo số 11+12, năm 2006;",09/12/2006,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2006
14933,Về việc thành lập Trường Đại học Bạc Liêu trực thuộc Ủy ban nhân dân tỉnh Bạc Liêu,1558/QĐ-TTg,2006-11-24,Quyết định,24/11/2006,,"Công báo số 09+10, năm 2006;",07/12/2006,Giáo dục và đào tạo,Giáo dục đại học,Thủ tướng Chính phủ,Thủ tướng,Nguyễn Tấn Dũng,Toàn quốc,Còn hiệu lực,2006
